# Simulated Nodulation Data File 8
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"50mM","Rm1021",20.4,2,0,0,0
"50mM","Rm1021",20,0,0,0,0
"50mM","Rm1021",11.3,4,0,0,0
"50mM","Rm1021",19,10,1,0,0
"50mM","Rm1021",14.2,2,0,0,0
"50mM","Rm1021",18.2,2,0,0,0
"50mM","Rm1021",15.1,1,0,1,0
"50mM","Rm1021",14.2,2,0,0,0
"50mM","Mock",17.5,15,0,0,0
"50mM","Mock",14.4,6,1,1,0
"50mM","Mock",17.3,5,0,0,0
"50mM","Mock",6.9,2,1,1,0
"50mM","Mock",17.5,7,0,1,0
"50mM","Mock",18.6,0,0,4,0
"50mM","Mock",18.7,4,0,2,0
"50mM","Mock",17.9,0,0,0,0
"50mM","Mock",18.6,9,0,0,1
"50mM","Mock",9.1,9,0,0,0
"50mM","Mock",17.4,5,0,0,0
"50mM","Mock",13.8,3,0,1,0
"50mM","Mock",23,11,0,1,0
"50mM","Mock",17.1,9,0,0,0
"50mM","Mock",19.7,10,0,0,0
"50mM","Mock",5.6,1,0,0,0
"50mM","Mock",15.8,0,0,0,0
"50mM","Mock",11.3,6,0,0,0
"50mM","Mock",16.8,0,0,0,0
"50mM","Mock",19.9,3,0,0,0
"50mM","Mock",19.9,3,0,6,0
"50mM","Mock",8.1,8,1,0,0
"50mM","Mock",13.6,1,0,0,0
"50mM","Mock",15.1,12,1,0,0
"50mM","Mock",16.2,4,0,0,0
"50mM","Mock",20.7,13,0,2,0
"50mM","Mock",18.1,7,0,1,0
"100mM","Rm1021",14.9,1,0,0,0
"100mM","Rm1021",19.6,11,0,0,0
"100mM","Rm1021",16.4,9,0,0,0
"100mM","Rm1021",18.6,9,0,0,0
"100mM","Rm1021",19.7,4,0,5,0
"100mM","Rm1021",16.7,14,0,3,0
"100mM","Rm1021",13.8,7,0,1,0
"100mM","Rm1021",18.3,5,0,6,0
"100mM","Rm1021",20,0,0,2,0
"100mM","Rm1021",19.3,6,0,0,0
"100mM","Rm1021",19.1,2,0,0,0
"100mM","Rm1021",7.2,0,0,0,0
"100mM","Rm1021",2.6,6,0,0,0
"100mM","Rm1021",18.6,4,0,0,0
"100mM","Rm1021",17.5,6,0,0,0
"100mM","Rm1021",5.3,1,2,2,4
"100mM","Rm1021",18.2,16,1,0,0
"100mM","Rm1021",14.7,11,0,0,0
"100mM","Mock",13.8,10,0,0,0
"100mM","Mock",16.9,3,0,0,0
"100mM","Mock",17.7,5,0,4,0
"100mM","Mock",20.1,7,0,1,0
"100mM","Mock",21.3,0,1,1,0
"100mM","Mock",17.1,12,0,3,0
"100mM","Mock",21.5,4,0,0,0
"100mM","Mock",19.3,15,0,0,0
"100mM","Mock",17.2,8,0,0,0
"100mM","Mock",17.4,11,0,0,0
"100mM","Mock",21.4,6,3,0,0
"100mM","Mock",8.3,4,0,0,0
"100mM","Mock",20.1,4,0,0,0
"100mM","Mock",17.9,7,0,0,0
"100mM","Mock",20.9,10,0,0,0
"100mM","Mock",18.5,3,0,0,0
"100mM","Mock",22.5,7,0,0,0
"100mM","Mock",16.3,0,0,0,0
"100mM","Mock",16.3,6,0,0,0
"100mM","Mock",2.4,10,0,5,0
"100mM","Mock",17.1,4,6,0,0
"100mM","Mock",18.4,4,0,0,0
