# Simulated Nodulation Data File 10
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"50mM","Rm1021",19.9,0,0,1,0
"50mM","Rm1021",15.1,0,0,0,0
"50mM","Rm1021",14.2,2,0,1,0
"50mM","Rm1021",21.3,6,0,0,0
"50mM","Rm1021",17.3,6,0,0,0
"50mM","Rm1021",7.2,11,0,0,0
"50mM","Rm1021",17.2,3,0,4,0
"50mM","Rm1021",6.9,4,0,0,0
"50mM","Rm1021",15.1,4,0,0,0
"50mM","Rm1021",19.3,6,1,0,0
"50mM","Rm1021",18.6,4,0,6,0
"50mM","Rm1021",18.6,6,0,0,0
"50mM","Rm1021",21.3,0,0,0,1
"50mM","Rm1021",16.9,12,0,0,0
"50mM","Rm1021",8.1,15,0,0,0
"50mM","Rm1021",5.6,16,0,0,0
"50mM","Rm1021",17,4,0,2,0
"50mM","Rm1021",19.8,7,0,0,0
"50mM","Rm1021",16.8,4,0,3,0
"50mM","Rm1021",20.4,10,3,1,0
"50mM","Rm1021",19.7,9,1,0,0
"50mM","Mock",17.1,4,0,2,0
"50mM","Mock",13.6,15,0,1,0
"50mM","Mock",20.3,0,0,0,0
"50mM","Mock",19.1,0,0,0,0
"50mM","Mock",16.4,10,0,0,0
"50mM","Mock",15.8,0,0,0,0
"50mM","Mock",17.4,2,0,4,0
"50mM","Mock",21.4,2,0,0,0
"50mM","Mock",18.6,2,0,0,0
"50mM","Mock",16.3,4,0,0,0
"50mM","Mock",20,4,0,2,0
"50mM","Mock",17.2,5,0,0,0
"50mM","Mock",2.4,0,0,0,0
"50mM","Mock",17.1,6,1,0,0
"50mM","Mock",20.1,11,0,0,0
"50mM","Mock",17.9,5,1,0,0
"50mM","Mock",5.3,2,0,2,0
"50mM","Mock",18.6,9,0,4,0
"50mM","Mock",13.8,6,1,0,0
"50mM","Mock",20,10,0,0,0
"50mM","Mock",14.9,10,1,0,0
"50mM","Mock",11.7,1,6,6,0
"50mM","Mock",18.3,4,0,1,0
"50mM","Mock",18.2,1,0,0,0
"50mM","Mock",15.8,6,0,0,0
"50mM","Mock",18.7,0,0,0,0
"50mM","Mock",18.2,6,0,1,0
"100mM","Rm1021",15.3,9,0,0,0
"100mM","Rm1021",17.1,4,0,2,0
"100mM","Rm1021",17.7,2,0,1,0
"100mM","Rm1021",18.4,2,0,0,0
"100mM","Rm1021",16.2,12,0,0,0
"100mM","Rm1021",16.2,14,0,0,0
"100mM","Rm1021",18.1,5,0,0,0
"100mM","Rm1021",21.3,4,0,0,0
"100mM","Rm1021",16.5,5,0,0,0
"100mM","Rm1021",2.6,3,0,2,0
"100mM","Rm1021",17.3,7,0,1,0
"100mM","Rm1021",20.3,1,0,0,0
"100mM","Rm1021",14.7,13,0,2,0
"100mM","Rm1021",9.1,3,0,0,0
"100mM","Rm1021",12.6,6,0,0,0
"100mM","Rm1021",17.4,9,0,1,0
"100mM","Rm1021",18.3,7,0,5,0
"100mM","Rm1021",20.7,8,0,1,0
"100mM","Mock",18.1,11,2,0,0
"100mM","Mock",15.8,3,1,2,0
"100mM","Mock",19,14,0,0,0
"100mM","Mock",15.6,1,0,0,0
"100mM","Mock",17.9,11,0,0,0
"100mM","Mock",16.3,6,0,0,0
"100mM","Mock",12.9,6,0,0,0
"100mM","Mock",18.5,3,0,0,0
"100mM","Mock",19.5,4,0,0,0
"100mM","Mock",12.7,12,0,1,0
"100mM","Mock",13.8,4,0,0,0
"100mM","Mock",23,6,0,0,0
"100mM","Mock",16.7,1,0,0,0
"100mM","Mock",19.1,7,0,2,0
"100mM","Mock",19.6,3,0,0,0
"100mM","Mock",16.7,0,2,0,0
"100mM","Mock",17.5,9,0,1,0
"100mM","Mock",3,8,0,0,0
"100mM","Mock",21.5,5,1,0,0
"100mM","Mock",6.6,7,0,0,0
"100mM","Mock",16.4,9,0,0,0
"100mM","Mock",19.9,0,0,0,0
