# Simulated Nodulation Data File 2
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"50mM","Rm1021",19.3,2,0,0,0
"50mM","Rm1021",14.2,11,0,0,0
"50mM","Rm1021",17.1,4,0,0,0
"50mM","Rm1021",16.4,9,0,2,0
"50mM","Rm1021",18.4,0,0,2,0
"50mM","Rm1021",19.5,8,0,0,0
"50mM","Rm1021",16.5,5,0,0,0
"50mM","Rm1021",17.1,1,0,0,0
"50mM","Rm1021",13.8,13,0,0,0
"50mM","Rm1021",3,8,0,0,0
"50mM","Rm1021",14.7,0,0,0,0
"50mM","Rm1021",17.5,6,0,0,0
"50mM","Rm1021",18.3,2,1,0,0
"50mM","Rm1021",20.1,8,0,0,0
"50mM","Rm1021",18.5,12,0,0,0
"50mM","Rm1021",20.1,0,2,0,0
"50mM","Rm1021",17.4,2,3,0,0
"50mM","Rm1021",18.5,11,0,3,0
"50mM","Rm1021",2.6,4,0,0,0
"50mM","Rm1021",17.3,7,0,0,4
"50mM","Mock",18.9,7,0,0,0
"50mM","Mock",17,0,0,0,0
"50mM","Mock",18.1,6,0,1,0
"50mM","Mock",16.9,4,0,0,0
"50mM","Mock",11.3,11,0,0,0
"50mM","Mock",17.7,2,0,0,0
"50mM","Mock",21.2,5,0,0,0
"50mM","Mock",18.6,4,1,0,0
"50mM","Mock",21.5,15,0,3,0
"50mM","Mock",19.7,14,0,0,0
"50mM","Mock",19.1,0,0,0,0
"50mM","Mock",16.2,5,0,0,0
"50mM","Mock",18.2,2,4,0,0
"50mM","Mock",18.7,1,0,0,0
"50mM","Mock",5.3,6,1,0,1
"50mM","Mock",16.3,6,2,0,0
"50mM","Mock",8.3,8,0,0,0
"50mM","Mock",17.9,4,0,0,0
"50mM","Mock",17.2,0,0,0,0
"50mM","Mock",19.4,14,0,0,0
"50mM","Mock",17.5,4,0,0,0
"50mM","Mock",13.6,5,0,0,0
"50mM","Mock",18.1,4,0,2,0
"50mM","Mock",12.9,2,0,1,0
"50mM","Mock",8.1,5,2,4,0
"50mM","Mock",16.3,2,0,1,0
"50mM","Mock",19.9,8,0,1,0
"100mM","Rm1021",18.3,10,1,0,0
"100mM","Rm1021",9.1,6,0,0,0
"100mM","Rm1021",17.9,13,0,0,0
"100mM","Rm1021",17.4,7,0,1,0
"100mM","Rm1021",17.1,10,0,1,0
"100mM","Rm1021",17.9,11,0,5,0
"100mM","Rm1021",20,6,0,1,0
"100mM","Rm1021",12.7,5,1,0,0
"100mM","Rm1021",14.2,6,0,0,0
"100mM","Rm1021",15.8,1,0,0,0
"100mM","Rm1021",17.2,2,0,0,0
"100mM","Rm1021",18.3,4,0,0,0
"100mM","Rm1021",20.3,10,0,0,0
"100mM","Rm1021",17.1,12,0,0,0
"100mM","Rm1021",17.5,10,0,1,0
"100mM","Rm1021",20.9,7,0,0,0
"100mM","Rm1021",16.4,13,0,0,0
"100mM","Rm1021",14.6,6,0,0,0
"100mM","Mock",19.1,1,0,0,0
"100mM","Mock",19.6,6,0,1,0
"100mM","Mock",15.1,15,0,0,0
"100mM","Mock",20,3,0,3,0
"100mM","Mock",12.6,10,0,4,0
"100mM","Mock",20.4,9,2,0,0
"100mM","Mock",19.7,7,1,0,0
"100mM","Mock",16.7,9,0,2,0
"100mM","Mock",14.2,3,0,0,0
"100mM","Mock",19,6,0,6,0
"100mM","Mock",16.8,4,1,0,0
"100mM","Mock",21.3,6,0,5,0
"100mM","Mock",7.2,9,1,1,0
"100mM","Mock",17,4,1,0,0
"100mM","Mock",16.4,1,0,0,0
"100mM","Mock",9.3,6,0,0,0
"100mM","Mock",21.3,3,0,0,0
"100mM","Mock",10,0,0,3,0
"100mM","Mock",21.4,3,0,2,0
"100mM","Mock",15.9,7,0,0,0
"100mM","Mock",18.6,7,0,0,0
"100mM","Mock",20.7,2,0,6,0
