# Simulated Nodulation Data File 3
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"50mM","Mock",17.1,9,0,0,0
"50mM","Mock",17.1,5,0,0,0
"50mM","Mock",17.3,0,0,0,0
"50mM","Mock",16.2,0,0,0,0
"50mM","Mock",18.5,2,0,0,1
"50mM","Mock",12.9,15,0,2,0
"50mM","Mock",18.6,3,0,0,0
"50mM","Mock",13.8,6,0,0,0
"50mM","Mock",22.5,10,0,0,0
"50mM","Mock",19.9,6,0,0,0
"50mM","Mock",17.9,6,0,0,0
"50mM","Mock",20.3,6,0,1,0
"50mM","Mock",11.3,2,0,0,0
"50mM","Mock",15.1,1,0,0,0
"50mM","Mock",18.6,2,0,0,0
"50mM","Mock",16.4,5,0,0,0
"50mM","Mock",15.1,5,2,0,0
"50mM","Mock",8.3,11,0,0,0
"50mM","Mock",16.4,0,0,4,0
"100mM","Rm1021",20,12,0,1,0
"100mM","Rm1021",11.3,6,0,2,0
"100mM","Rm1021",15.3,1,0,0,0
"100mM","Rm1021",13.8,3,0,0,0
"100mM","Rm1021",14.4,6,2,0,0
"100mM","Rm1021",17.5,9,0,2,0
"100mM","Rm1021",14.2,7,0,0,0
"100mM","Rm1021",15.8,14,0,2,0
"100mM","Rm1021",17.5,8,0,0,0
"100mM","Rm1021",19.1,13,0,0,0
"100mM","Rm1021",18.1,0,0,0,0
"100mM","Rm1021",12.7,2,1,2,0
"100mM","Rm1021",18.4,4,0,0,0
"100mM","Rm1021",19.3,6,0,1,0
"100mM","Rm1021",19.1,6,0,0,0
"100mM","Rm1021",15.6,6,0,3,0
"100mM","Rm1021",17.2,6,0,1,0
"100mM","Rm1021",17.4,4,0,0,0
"100mM","Mock",17.3,9,0,0,0
"100mM","Mock",11.7,7,0,0,0
"100mM","Mock",21.4,7,0,0,0
"100mM","Mock",21.3,8,0,0,0
"100mM","Mock",14.7,8,0,0,0
"100mM","Mock",13.6,5,0,1,0
"100mM","Mock",18.1,5,0,1,0
"100mM","Mock",5.3,0,0,1,0
"100mM","Mock",18.3,3,0,0,0
"100mM","Mock",17.4,9,0,0,0
"100mM","Mock",20,14,0,2,0
"100mM","Mock",16.5,0,0,0,0
"100mM","Mock",17.5,11,0,0,0
"100mM","Mock",7.2,0,0,0,0
"100mM","Mock",21.5,3,0,3,0
"100mM","Mock",21.2,11,0,3,0
"100mM","Mock",6.9,4,0,5,0
"100mM","Mock",20.3,6,1,3,0
"100mM","Mock",16.2,6,1,0,0
"100mM","Mock",21.3,0,0,0,0
"100mM","Mock",18.9,4,0,0,0
"100mM","Mock",16.3,8,0,1,0
