# Simulated Nodulation Data File 1
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"100mM","Rm1021",19.4,11,0,3,0
"100mM","Rm1021",16.4,3,1,2,0
"100mM","Rm1021",16.5,6,0,0,0
"100mM","Rm1021",19.7,0,0,0,0
"100mM","Rm1021",18.1,4,0,0,0
"100mM","Rm1021",14.6,2,0,0,0
"100mM","Rm1021",16.3,1,0,0,0
"100mM","Rm1021",16.2,4,0,0,0
"100mM","Mock",19.8,10,0,0,0
"100mM","Mock",20.5,3,0,1,0
"100mM","Mock",10,5,0,3,0
"100mM","Mock",20.3,0,0,0,0
"100mM","Mock",21.3,16,0,0,0
"100mM","Mock",11.3,10,0,0,0
"100mM","Mock",20.4,5,1,0,0
"100mM","Mock",12.9,10,0,0,0
"100mM","Mock",17.5,9,0,0,0
"100mM","Mock",9.3,12,0,0,0
"100mM","Mock",12.7,13,0,0,0
"100mM","Mock",18.3,0,0,3,0
"100mM","Mock",17.1,3,0,0,0
"100mM","Mock",20.7,1,1,0,0
"100mM","Mock",18.4,0,0,1,0
"100mM","Mock",20.1,11,0,0,0
"100mM","Mock",18.3,9,0,0,0
"100mM","Mock",3,8,0,4,0
"100mM","Mock",15.1,4,0,0,0
"100mM","Mock",13.8,4,0,0,0
"100mM","Mock",18.6,0,0,0,0
"100mM","Mock",18.7,2,0,4,0
