# Simulated Nodulation Data File 5
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"50mM","Rm1021",17.1,13,0,0,0
"50mM","Rm1021",16.4,10,0,0,0
"50mM","Mock",13.6,6,0,0,0
"50mM","Mock",20,2,0,0,0
"50mM","Mock",19.3,3,0,0,0
"50mM","Mock",11.7,0,0,0,0
"50mM","Mock",19.9,7,0,0,0
"50mM","Mock",14.4,5,0,1,0
"50mM","Mock",13.8,4,0,0,0
"50mM","Mock",9.1,2,0,0,0
"50mM","Mock",18.2,8,0,0,0
"50mM","Mock",13.8,9,0,0,0
"50mM","Mock",17.4,6,0,0,0
"50mM","Mock",2.6,4,0,3,0
"50mM","Mock",16.7,6,0,3,0
"50mM","Mock",7.2,12,0,0,0
"50mM","Mock",17.9,0,1,0,0
"50mM","Mock",20.3,4,0,2,0
"50mM","Mock",19.4,2,0,2,0
"50mM","Mock",17.4,0,1,0,0
"50mM","Mock",14.2,6,0,0,0
"50mM","Mock",5.6,12,0,0,0
"50mM","Mock",19.8,10,0,0,0
"50mM","Mock",18.9,5,1,0,0
"50mM","Mock",14.7,0,0,0,0
"50mM","Mock",18.1,8,0,1,0
"50mM","Mock",14.2,0,0,0,1
"50mM","Mock",11.3,4,0,0,0
"50mM","Mock",21.3,8,0,0,0
"100mM","Rm1021",18.4,9,0,1,0
"100mM","Rm1021",15.8,3,0,0,0
"100mM","Rm1021",16.2,1,0,0,0
"100mM","Rm1021",18.2,4,1,5,0
"100mM","Rm1021",16.9,7,0,0,0
"100mM","Rm1021",19.9,6,0,0,0
"100mM","Rm1021",11.3,6,1,0,0
"100mM","Rm1021",22.5,9,1,0,0
"100mM","Rm1021",21.5,7,0,3,0
"100mM","Rm1021",19.6,6,0,0,0
"100mM","Rm1021",15.1,15,0,2,0
"100mM","Rm1021",20.3,6,1,1,0
"100mM","Rm1021",16.2,4,0,0,4
"100mM","Rm1021",17.5,13,0,4,0
"100mM","Rm1021",13.8,12,0,0,0
"100mM","Rm1021",18.6,1,0,0,0
"100mM","Rm1021",18.1,14,0,1,0
"100mM","Rm1021",17.9,2,0,0,0
"100mM","Mock",20.7,4,0,0,0
"100mM","Mock",16.3,9,0,6,0
"100mM","Mock",17.1,4,0,1,0
"100mM","Mock",19.3,0,0,0,0
"100mM","Mock",17.3,3,0,0,0
"100mM","Mock",18.3,4,0,1,0
"100mM","Mock",16.4,7,0,0,0
"100mM","Mock",16.3,6,0,0,0
"100mM","Mock",17,16,0,0,0
"100mM","Mock",15.8,11,0,0,0
"100mM","Mock",15.1,6,0,5,0
"100mM","Mock",20.1,1,0,0,0
"100mM","Mock",21.3,1,0,1,0
"100mM","Mock",13.6,0,0,0,0
"100mM","Mock",19.1,10,0,0,0
"100mM","Mock",10,3,0,1,0
"100mM","Mock",16.8,7,0,3,0
"100mM","Mock",18.5,1,0,1,0
"100mM","Mock",17.3,5,0,0,0
"100mM","Mock",3,2,2,0,0
"100mM","Mock",14.9,4,0,0,0
"100mM","Mock",2.4,6,0,0,0
