# Simulated Nodulation Data File 9
# Date: 2022-04-12 13:43:45
# David C. Green

"Treatment","Inoculation","PRL","LR","WN","PN","BN"
"100mM","Mock",18.3,9,0,4,0
"100mM","Mock",20.1,3,3,0,0
"100mM","Mock",17.5,11,0,0,0
"100mM","Mock",15.8,3,0,3,0
"100mM","Mock",18.3,1,0,0,0
"100mM","Mock",19.1,4,0,0,0
"100mM","Mock",21.2,0,0,0,0
"100mM","Mock",18.5,5,0,0,0
"100mM","Mock",16.4,10,0,0,0
"100mM","Mock",17.1,2,0,0,0
"100mM","Mock",17.2,6,0,0,0
"100mM","Mock",13.6,9,0,3,0
"100mM","Mock",15.8,7,0,6,0
"100mM","Mock",10,4,0,0,0
"100mM","Mock",17.5,4,2,0,0
"100mM","Mock",17.9,3,0,0,0
